,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
246,0 days 08:25:00,J5,2439,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
247,0 days 08:30:00,J5,2455,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
248,0 days 08:35:00,J5,2510,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
249,0 days 08:40:00,J5,2455,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
250,0 days 08:45:00,J5,2449,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
251,0 days 08:50:00,J5,2476,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
252,0 days 08:55:00,J5,2474,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
253,0 days 09:00:00,J5,2478,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
254,0 days 09:05:00,J5,2577,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
255,0 days 09:10:00,J5,2588,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
256,0 days 09:15:00,J5,2543,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
257,0 days 09:20:00,J5,2536,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
258,0 days 09:25:00,J5,2591,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
259,0 days 09:30:00,J5,2564,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
260,0 days 09:35:00,J5,2617,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
261,0 days 09:40:00,J5,2581,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
262,0 days 09:45:00,J5,2519,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
263,0 days 09:50:00,J5,2603,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
264,0 days 09:55:00,J5,2548,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
265,0 days 10:00:00,J5,2638,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
266,0 days 10:05:00,J5,2619,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
267,0 days 10:10:00,J5,2649,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
268,0 days 10:15:00,J5,2675,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
269,0 days 10:20:00,J5,2640,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
270,0 days 10:25:00,J5,2679,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
271,0 days 10:30:00,J5,2642,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
272,0 days 10:35:00,J5,2632,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
273,0 days 10:40:00,J5,2669,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
274,0 days 10:45:00,J5,2642,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
275,0 days 10:50:00,J5,2676,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
276,0 days 10:55:00,J5,2694,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
277,0 days 11:00:00,J5,2694,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
278,0 days 11:05:00,J5,2716,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
279,0 days 11:10:00,J5,2757,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
280,0 days 11:15:00,J5,2742,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
281,0 days 11:20:00,J5,2737,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
282,0 days 11:25:00,J5,2777,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
283,0 days 11:30:00,J5,2757,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
284,0 days 11:35:00,J5,2702,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
285,0 days 11:40:00,J5,2759,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
286,0 days 11:45:00,J5,2785,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
